Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
Digital Marketing Manager (Jakarta),PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,"Social Media Specialist, Digital Marketing","Asisten Manajer, Asisten Manajer Senior, Manajer - Departemen",2 tahun,"S1, D3","Desain Komunikasi Visual, Desain Produk, Ilmu Komunikasi, Lainnya, Manajemen","Merancang strategi pemasaran digital yang komprehensif untuk mencapai tujuan bisnis perusahaan
Mengelola kehadiran dan aktivitas perusahaan di platform media sosial untuk meningkatkan brand awareness dan engagement
Mengoptimalkan situs web perusahaan untuk meningkatkan peringkatnya di hasil pencarian organik
Bertanggung jawab atas strategi dan produksi konten yang relevan dan menarik untuk tujuan pemasaran
Mengelola strategi pemasaran digital yang ditujukan khusus untuk toko online perusahaan untuk meningkatkan penjualan dan profitabilitas
Membangun dan memelihara citra merek perusahaan di platform digital termasuk media sosial situs web dan blog
Mengelola hubungan dengan influencer dan merencanakan kampanye pemasaran yang melibatkan mereka untuk meningkatkan visibilitas merek","KUALIFIKASI 
 Pria  Wanita
 usia Maksimal 35 tahun
 Pengalaman minimal 2 Tahun di bidang Internet marketing terkini
 Menguasai Google ads Facebook ads dan instagram ads tiktok dan marketplace
 Memahami promosi  pemasaran melalui internet",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
Staff Teknik Sipil,PT Rajawali Anugrah Resources,Jakarta Selatan,"Rp 5,3 juta - Rp 5,6 juta/bulan",,Tidak Disebutkan,"Teknik, Sipil",Pemula / Staf,-,"S1, D3",Teknik Sipil,"Staf Teknik Sipil 
Penempatan  Batu Ceper Gambir Jakarta Pusat 
Benefit  UMR Jakarta  BPJS TENAGA KERJA  BPJS KESEHATAN
Meninjau  Menganalisis kapasitas menara dan infrastruktur secara terperinci
Memantau dan meninjau produk konsultan struktur Analisis  Gambar Detail
Menyiapkan dokumen pengembangan proyek mulai dari Gambar Rencana Estimasi Biaya Bill of Quantity Bill of Material  Metode Prosedur
Berkoordinasi dengan divisi proyek atau operasional terkait dengan kasus apa pun di lokasi hingga mencapai solusi

Berminat dapat menghubungi kami Pak Herry 0858 8480 5990
EMAIIL
resourcesrajawalianugrahgmailcom            Subject  Staf Teknik Sipil","Staf Teknik Sipil
Penempatan  Batu Ceper Gambir Jakarta Pusat
Benefit  UMR Jakarta  BPJS TENAGA KERJA  BPJS KESEHATAN
Persyaratan 
 Mampu menjalankan MS Tower Auto CAD  Perangkat Lunak Microsoft Office
 Pendidikan D3S1 Teknik Sipil
 Pria  Wanita
Usia Maksimal 32 Tahun 

Berminat dapat menghubungi kami Pak Herry 0858 8480 5990

EMAIIL

resourcesrajawalianugrahgmailcom Subject  Staf Teknik Sipil",We are a fast growing company which provides in the staffing servicehuman resource training management and event organizer We have handled professionally a lot of big company and a growing company,5300000.0,5600000.0
Social Media Manager,PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Social Media Specialist,"Asisten Manajer, Asisten Manajer Senior, Manajer - Departemen",2 tahun,S1,"Desain Komunikasi Visual, Ilmu Komunikasi, Lainnya","1 Pengembangan Strategi  Membuat dan menerapkan strategi media sosial yang selaras dengan tujuan bisnis
2 Perencanaan  Tinjauan Konten  Mengawasi kalender konten memastikan postingan yang konsisten dan menarik
3 Analisis  Reporting  Melacak metrik utama jangkauan keterlibatan konversi dan menyesuaikan strategi yang sesuai
4 Pemantauan Tren  Tetap mengikuti tren industri pembaruan platform dan alat media sosial yang sedang berkembang
5 Kolaborasi  Bekerja dengan desainer pembuat konten dan tim lain untuk memastikan branding dan proyek yang kohesif berjalan lancar
6 Kemampuan untuk menangani beberapa akun media sosial dan kampanye secara bersamaan sambil mempertahankan pekerjaan berkualitas tinggi","KUALIFIKASI 
 Pria  Wanita
 usia Maksimal 35 tahun
 Pengalaman minimal 1 Tahun di bidang Internet marketing terkini
 Menguasai Google ads Facebook ads dan instagram ads
 Memahami promosi  pemasaran melalui internet",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
MERCHANDISER,PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Merchandiser,"Pemula / Staf, Staf Senior",1 tahun,"S1, D3, SMA",Administrasi Bisnis (Keuangan),"1 Bertanggung jawab terhadap barang yang akan di pajang
2 Memberi label pada semua barang yang ada di pajang
3 Menghindari kekosongan barang
4 Memprediksi keuntungan pengeluaran
5 Merencanakan anggaran dan menyampaikan penjualan","1 pria dan wanita minimal 19 tahun
2 Fresh graduate dapat melamar
3 Berpengalaman di bidang merchandiser
4 Jujur teliti dan bertanggung jawab",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
Telesales/Telemarketing/ Upselling,PT Personel Alih Daya Tbk,Prov. DKI-Jakarta,"Rp 4 juta - Rp 5,5 juta/bulan",,Tidak Disebutkan,Telemarketing,Pemula / Staf,1 tahun,SMA,Semuanya," Menawarkan product kepada customer melalui telephone
Melakukan outbound call kepada customer sesuai database dari perusahaan","PriaWanita
Usia Max 35 Tahun
Pendidikan minimal SMA 
Memiliki pengalaman kerja dibagian TelemarketingTelesalesUpselling minimal 1 tahun
Terbiasa dengan target
Memiliki komitmen kerja yang baik
Memiliki kemampuan komunikasi dan selling skill yang baik",Berdiri sejak tahun 2006 PT Personel Alih Daya Persero Tbk  PERSADA  tumbuh dengan harapan dapat menjadi perusahaan terbaik dalam meyediakan solusi terpadu dipasar regional Dengan 5 layanan utama dibidang layanan teknikal dan pemeliharaan peralatan telekomuniasi layanan call center layanan perkantoran layanan pengamanan dan layanan sumber daya manusia PERSADA menyediakan seluruh kebutuhan dukungan pengelolaan sumber daya yang dibutuhkan oleh perusahaan PERSADA secara terus menerus melakukan inovasi untuk meningkatkan kualitas layanan dan produknya dengan menggabungkan teknologi yang berkembang saat ini agar yang dapat membantu mitra kerjanya dalam mencapai tujuan secara efektif dan efisien PERSADA menjadi menjadi pengingat untuk setiap solusi  dukungan yang anda butuhkan karena PERSADA sepenuh hati membantu mitranya untuk tumbuh menjadi besar ,4000000.0,5500000.0
Store Manager (Jakarta & Pekalongan),PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,"Penjualan dan Pemasaran, Operasi Ritel, Manajemen Operasional","Supervisor, Asisten Manajer",2 tahun,"S1, SMA","Pemasaran, Semuanya"," Memastikan semua sistem toko dapat berjalan dengan baik dan benar
 Mengatasi masalah yang terjadi  muncul di toko
 Membentuk  mempertahankan omzet serta crowd toko agar sesuai dengan targetharapan
 Menanamkan mindset victoria  menjadikan habit baik dalam team 
 Membuat planning team  frame work untuk pencapaian target 
 Mengorganisai pelaksanaan tugas keseharian dalam operasional toko  projects dari masingmasing divisi yang ada
 Mengcontrol  melaksanakan semua planning agar berjalan dengan baik untuk mencapai targetharapan
 Mengevaluasi toko secara performance keseluruhan System SDM Operasional administrasi keuangan gudang  pengiriman","Kualitfikasi 
1 Memiliki jiwakarakter pemimpin yang baik dan kuat
2 Pernah memiliki pengalaman memimpin tim min2 tahun
3 Bisa menjadi contoh yang baik
4 Paham alur operasional toko dari masingmasing bagiannya 
5 Bisa menerapkan semua program kerja dengan baik dengan konsisten dan benar
6 Siap menerima inputan dan kritikan 
7 Bisa mengevalauasi tim dan memperbaiki hal2 yang kurang tepat dalam penerapannya terhadap hasil yang didapatkannya

Diutamakan daerah Jakarta dan Pekalongan",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
MERCHANDISER,PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Merchandiser,"Pemula / Staf, Staf Senior",1 tahun,"S1, D3, SMA","Lainnya, Pemasaran","Filterisasi pesanan barang atau order produksi terhadap data stock harga jual  update ketentuan lainnya sesuai dengan update yang berlaku
Memastikan pesanan sesuai dengan penjualannya
Mengetahui total stock  data penjualan dan dilaporkan secara periode yang ditetapkan
Menarik produk lama belum terjual ditoko return ke gudang untuk repacking foto  posting ulang untuk ditawarkan ke team penjualan
Pengecekan secara berkala terhadap produk sama atau sejenis untuk harga jual kompetitor dan arsip data tersebut untuk study case
Visit tokotoko Check standar dan kelengkapan display produk jual
Memastikan semua sample terdistribusi dengan baik Share Picture  Fisik","Wanita dan Pria minimal 20 tahun dan maksimal 30 tahun
Berpengalaman di bidang merchandiser minimal 1 tahun
Fresh Graduate dapat melamar
Mampu mengoperasikan msoffice
Berpengalaman di bidang merchandiser minimal 1 tahun
Jujur teliti dan bertanggung jawab",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
Digital Marketing Manager,PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Digital Marketing,Pemula / Staf,1 tahun,"S1, D3","Ilmu Komunikasi, Desain Komunikasi Visual"," Memasarkan  Menjual produk perusahaan via internet 
 Meningkatkan dan menjaga trafic Website","KUALIFIKASI 
 Pria  Wanita 
 usia Maksimal 30 tahun
 Pengalaman minimal 1 Tahun di bidang Internet marketing  terkini 
 Menguasai Google ads Facebook ads dan instagram ads 
 Memahami promosi  pemasaran melalui internet",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
Customer Service Representative (CSR),PT Qerja Manfaat Bangsa (QMB),Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,Layanan Pelanggan,"Pemula / Staf, Staf Senior",-,"S1, D3",Semuanya,"Melakukan pelayanan terhadap customer
Memberikan solusi terhadap kendala dari customer
Melakukan soft selling produk
Berkomunikasi baik dan ramah terhadap customer","LakiLaki maks 25th Wanita maks 24th
Pendidikan Min D3  S1 Ijazah
Belum Menikah
Good Looking
LakiLaki Tinggi min 170cm BB maks 55kg
Wanita Tinggi min 162cm BB maks 50kg dilihat untuk idealnya
B Inggris aktif untuk mayoritas 70 customer WNA
Freshgraduate dipersilahkan
Berkomunikasi dengan baik
Terbiasa dengan pelayanan customer
Solving problem
Area Jakarta dan sekitarnya
Bersedia shift maks 1100pm",Qareer Group Asia didirikan pada tahun 2012 Qareer Group Asia menghubungkan jutaan profesional di Asia Tenggara dan memberdayakan mereka untuk mencapai karir impian mereka dan sekarang kami hadir untuk menjadi solusi satu atap untuk pengembangan manusia Anda Qareer Group Asia bertujuan untuk menjadi merek yang memelihara untuk meningkatkan kualitas sumber daya manusia di Indonesia dengan menyediakan berbagai produk dan layananPada tahun 2020 Qareer Group Asia mengubah nama perusahaannya menjadi PT Qerja Manfaat Bangsa TENTANG VISI KAMI Menjadi aset nasional Indonesia Ciptakan dunia bagi semua orang untuk dapat bekerja terus menerus dengan semua hasrat mereka TENTANG MISI KAMI Menjadi portal pekerjaan tepercaya yang mampu menghubungkan pemangku kepentingan kami Menjadi solusi total rekrutmen dan sumber daya manusia bagi para pemangku kepentingan kami Menggali dan mengembangkan potensi pemangku kepentingan kami NILAI TRIK Memercayai Kami menaruh kepercayaan pada diri kami sendiri untuk berorientasi pada hasil dan didorong oleh data Menghormati Di Qerja kami saling menghormati dan setiap keputusan yang kami buat Integritas Kami selalu berusaha menjadi versi terbaik dari diri kami sendiri Kolaborasi Kami berusaha untuk keunggulan kami berkolaborasi dan saling membantu untuk mencapai tujuan bersama Kebaikan Kami memperlakukan orang lain dengan kebaikan dan ketulusan,,
Call Center Bank,PT Bina Talenta,Prov. DKI-Jakarta,"Rp 5,3 juta - Rp 5,3 juta/bulan",,Tidak Disebutkan,Layanan Pelanggan,Pemula / Staf,1 tahun,"S1, D3, SMA",Semuanya,"Merespon semua panggilan pelanggan baik inbound call atau outbound call
    Menerima setiap panggilan telepon yang masuk
    Mendengarkan penjelasan dari pelanggan secara seksama dan merespon setiap keluhan pelanggan dengan sopan","Pria Wanita
Single
Usia maks 27 Tahun
Berpenampilan menarik
Pendidikan D3  S1 pengalaman Call Center atau Customer Service diutamakan pengalaman di perbankan
Memiliki kemampuan berkomunikasi yang baik Tidak berlogat dan Cadel
Mampu berbahasa inggris secara aktif
Bersedia shifting dan Lembur
Penempatan kerja  Wilayah Thamrin  Jakarta Pusat Harmoni Jakbar dan Tb Simatupang Jaksel

Benefit 

Gaji Pokok UMR  Gross
Tunjangan Lembur
Tunjangan Shifting
Tunjangan Transport
Tunjangan Hari Raya THR
BPJS Ketenagakerjaan dan BPJS Kesehatan
Kompensasi kontrak kerja",An outsourcing company specialized in Banking and financial industry,5300000.0,5300000.0
STAFF ACCOUNTING FINANCE,PT Era Mulya Citra Warna,Bogor,"Rp 3,5 juta - Rp 4 juta/bulan",,Tidak Disebutkan,"Akuntansi, Keuangan, Akuntan Perpajakan","Staf Senior, Supervisor",1 tahun,"S1, D3, SMA","Akuntansi, Administrasi Bisnis (Keuangan)","Membuat laporan bulanan
mengawasikontrol piutang perusahaan atau AR
Melakukan pengawasan aset perusahaan  STOCK ","Pria
Usia min 25 Tahun
Domisili BogorDepokTangerang
Pendidikan SMAD3S1Sederajat
Pengalaman sebagai AccountingFinance Miniminal 1 Tahun
Microsoft Office
Komunikatif
Penampilan Rapih
Bisa bekerja Dengan Team
Jujur",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,3500000.0,4000000.0
Security,Jatim Raya Group,Gresik,Gaji di atas ekspektasi,,Tidak Disebutkan,Satuan Pengamanan,Staf Senior,1 tahun,Apa Saja,Semuanya, Mengawasi keamanan area pabrik dan kantor," Usia maks 35 tahun
 Memiliki Lisensi Pengamanan  Kartu Keanggotaan Pengamanan KTA Gada Pratama
 Pengalaman sebagai Keamanan min 1 tahun
 Sehat Jasmani dan rohani serta berkelakuan baik
 Dapat berkomunikasi dengan baik dan berpenampilan rapih
 Tangguh Jujur Teliti serta Disiplin dalam bekerja
 Bersedia mengikuti jam kerja shift
 Bersedia ditempatkan di Gresik",Jatim Raya Group sudah berdiri lebih dari 40 tahun dan terdiri dari beberapa perusahaan di banyak industri salah satunya adalah PT Jatim Watkoraya sebuah perusahaan perdagangan  distribusi dengan 20 toko di seluruh Indonesia yang menyediakan solusi kelistrikan lengkap untuk rumah industri dan proyek nasional PT MJR wwwnisoelectriccom perusahaan manufaktur yang memproduksi kabel listrik ducting conduit dan peralatan kabel lainnya untuk rumah  industri Jatim Raya Group juga bergerak pada bidang trading alat listrik plastic manufacturer oil refinery dan penyewaan pergudangan,,
Experiential Learning Internship Program,"EMTEK (PT Elang Mahkota Teknologi, Tbk)",Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,Administrasi,Pemula / Staf,-,"S1, D3","Administrasi Bisnis/Tata Niaga, Administrasi Pendidikan",Experiential Learning Internship Program is for final year students who are eager to get involved in real work related task within Emtek group ecosystem Students will get the exposure to work a long side highly skilled and experience talents of Emtek group,"Final year student who is eager to get experiential learning experiences
Prior organizational experience
Proficient in Microsoft Office Excel Canva and PowerPoint
Excellent communication discipline and initiative
Strong teamwork skills
High learning aptitude",For 35 years of our existence in media business has been a proof of our love for this works Maintaining our passion and creativity in working makes us ready to face challenges in the future EMTEK is now a holding company that manages subsidiaries engaged in media entertainment online telecommunications technology and health,,
Operator,PT Mitra Insan Sejahtera,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Operator,Pemula / Staf,-,SMA,Semuanya,"Memastikan mesinalat yang akan di gunakan dalam kondisi baik tidak rusak
Mengambil bulk  bahan yang akan dikerjakan dan memastikan bahwa produk yang diambil adalah sesuai dengan produk yang akan di proses packing  di coding
Menjalankan mesin sesuai dengan protap mesin
Mlakukan pengecekan setiap 1 jam terhadap hasil produksi
Menjaga kebersihan mesin sebelum selama dan sesudah bekerja
Melakukan serah terima pekerjaan dan menginformasikan kondisi mesin kepada operator mesin tersebut di shift berikutnya
Melaporkan semua masalah yang terjadi kepada Supervisor","Pria
Usia maksimal 26 tahun
Pendidikan Min SMA SMK Segala Jurusan
Jujur disiplin dan bertanggung jawab
Penempatan Jakarta",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
ADMIN,PT Mitra Insan Sejahtera,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Administrasi,"Pemula / Staf, Staf Senior",-,"S1, D3",Semuanya,"Melakukan pencatataninput data data
Melakukan pengarsipan data
Melakukan pendistribusian berkas
Melakukan inventaris kebutuhan kantor","Wanita
Lajang
Max 26th
Min D3 Segala Jurusan",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
SALES EXECUTIVE KENDAL,PT Era Mulya Citra Warna,Kendal,"Rp 2,5 juta - Rp 3 juta/bulan",,Tidak Disebutkan,Penjualan dan Pemasaran,Staf Senior,2 tahun,"D3, SMA, Apa Saja",Pemasaran,"Melakukan penjualan produkproduk
Melakukan penagihan terhadap tokotoko
Membuka outletoutlet baru NOO
Melakukan spreading produk","Pria usia maksimal 40 tahunPendidikan minimal SDSMPSMASMKS1 atau sederajat
Memiliki pengalaman minimal 3 tahun dibidangnya
Memiliki kendaraan sendiri dan memiliki SIM C
Memiliki kemampuan komunikasi negosiasi dan persentasi yang baik
Jujur disiplin komunikatif",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,2500000.0,3000000.0
